car_id,probeID,car_id,passenger_id,timestamp,longitude,latitude,shape,easting,northing
124,124,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295371,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135
125,125,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295374,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135
126,126,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295377,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135
127,127,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295380,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135
128,128,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295383,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135
129,129,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295386,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135
130,130,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295390,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135
131,131,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295392,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135
132,132,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295395,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135
133,133,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295398,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135
134,134,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295401,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135
135,135,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295404,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135
136,136,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295407,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135
137,137,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295411,108.97227,34.272459999999995,POINT (108.97227 34.27246),313329.1349695755,3794227.060747324
138,138,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295414,108.97223000000001,34.27228,POINT (108.97223 34.27228),313325.0540043055,3794207.170638361
139,139,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295420,108.97223000000001,34.272079999999995,POINT (108.97223 34.27208),313324.61174306355,3794184.9889285485
140,140,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295423,108.97223000000001,34.272,POINT (108.97223 34.272),313324.4348392046,3794176.1162448013
141,141,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295426,108.97223000000001,34.27183,POINT (108.97223 34.27183),313324.05891971465,3794157.2617921773
142,142,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295429,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
