,car_id,probeID,car_id.1,passenger_id,timestamp,longitude,latitude,shape,easting,northing,distance,linkPVID,projection_NE,projection_lat,projection_lon
117,117,117,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295350,108.97234,34.273309999999995,POINT (108.97234 34.27331),313337.45963616483,3794321.2045214437,2.7018993436984157e-06,263907.0,POINT ( 313337.4596388662 3794321.2045213897),34.273309967929904,108.97233900098486
118,118,118,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295353,108.97234,34.27313,POINT (108.97234 34.27313),313337.06161200645,3794301.240980145,3.568258882037994e-06,263907.0,POINT ( 313337.061615574 3794301.240980074),34.27312996792967,108.97233900098571
119,119,119,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295356,108.97234,34.27292,POINT (108.97234 34.27292),313336.5972528205,3794277.9501826107,2.2602473984157117e-06,263907.0,POINT ( 313336.5972550803 3794277.9501825655),34.27291996792939,108.97233900096153
120,120,120,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295359,108.97233,34.27275,POINT (108.97233 34.27275),313335.30061597656,3794259.1140848827,0.7947671885391097,263907.0,POINT ( 313336.09406273544 3794259.0682905074),34.27274969776759,108.97233762500908
121,121,121,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295362,108.97233,34.27264,POINT (108.97233 34.27264),313335.0573810786,3794246.9141438664,0.33463906242649705,263907.0,POINT ( 313335.39146417024 3794246.89486201),34.272639854176305,108.9723326321047
122,122,122,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295365,108.97233,34.27264,POINT (108.97233 34.27264),313335.0573810786,3794246.9141438664,0.33463906242649705,263907.0,POINT ( 313335.39146417024 3794246.89486201),34.272639854176305,108.9723326321047
123,123,123,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295368,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135,0.041829902247595904,263907.0,POINT ( 313334.9443559991 3794239.148134902),34.27256995370936,108.97232945480488
124,124,124,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295371,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135,0.041829902247595904,263907.0,POINT ( 313334.9443559991 3794239.148134902),34.27256995370936,108.97232945480488
125,125,125,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295374,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135,0.041829902247595904,263907.0,POINT ( 313334.9443559991 3794239.148134902),34.27256995370936,108.97232945480488
126,126,126,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295377,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135,0.041829902247595904,263907.0,POINT ( 313334.9443559991 3794239.148134902),34.27256995370936,108.97232945480488
127,127,127,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295380,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135,0.041829902247595904,263907.0,POINT ( 313334.9443559991 3794239.148134902),34.27256995370936,108.97232945480488
128,128,128,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295383,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135,0.041829902247595904,263907.0,POINT ( 313334.9443559991 3794239.148134902),34.27256995370936,108.97232945480488
129,129,129,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295386,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135,0.041829902247595904,263907.0,POINT ( 313334.9443559991 3794239.148134902),34.27256995370936,108.97232945480488
130,130,130,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295390,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135,0.041829902247595904,263907.0,POINT ( 313334.9443559991 3794239.148134902),34.27256995370936,108.97232945480488
131,131,131,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295392,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135,0.041829902247595904,263907.0,POINT ( 313334.9443559991 3794239.148134902),34.27256995370936,108.97232945480488
132,132,132,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295395,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135,0.041829902247595904,263907.0,POINT ( 313334.9443559991 3794239.148134902),34.27256995370936,108.97232945480488
133,133,133,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295398,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135,0.041829902247595904,263907.0,POINT ( 313334.9443559991 3794239.148134902),34.27256995370936,108.97232945480488
